verification,session name,country code,place (optional),date (YYYYMMDD),spacing (m),shape,gps correction,bathy (yes/no),video (yes/no),photog (yes/no),Stockage,observation,Team,comment,arthur_comment
v1,20250422_REU-TROU-DEAU_ASV-1_03,REU,TROU-DEAU,20250422,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ, ALR, JI, SBO",,
v1,20250422_REU-TROU-DEAU_ASV-2_01,REU,TROU-DEAU,20250422,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ, ALR, JI, SBO",,
v1,20250422_REU-TROU-DEAU_ASV-2_02,REU,TROU-DEAU,20250422,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ, ALR, JI, SBO",,
v1,20250425_REU-ST-LEU_ASV-1_01,REU,Saint Leu,20250425,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250425_REU-ST-LEU_ASV-1_02,REU,Saint Leu,20250425,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250425_REU-ST-LEU_ASV-1_03,REU,Saint Leu,20250425,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250425_REU-ST-LEU_ASV-2_01,REU,Saint Leu,20250425,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250425_REU-ST-LEU_ASV-2_02,REU,Saint Leu,20250425,1,linear,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250425_REU-ST-LEU_ASV-2_03,REU,Saint Leu,20250425,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202504_plancha_session,,"VI, MZ",,
v1,20250515_REU-LA-SALINE_ASV-1_01,REU,La Saline,20250515,1,grid,PPK with a Reach base connected to Centipede,no,yes,yes,202505_plancha_session,,"MZ, ALR",,
v1,20250515_REU-LA-SALINE_ASV-1_02,REU,La Saline,20250515,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202505_plancha_session,,"MZ, ALR",,
v1,20250515_REU-LA-SALINE_ASV-1_03,REU,La Saline,20250515,1,grid,PPK with a Reach base connected to Centipede,no,yes,yes,202505_plancha_session,,"MZ, ALR",,
v1,20250515_REU-LA-SALINE_ASV-2_01,REU,La Saline,20250515,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202505_plancha_session,,"MZ, ALR",,
v1,20250515_REU-LA-SALINE_ASV-2_02,REU,La Saline,20250515,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202505_plancha_session,,"MZ, ALR",,
v1,20250519_REU-ST-LEU_ASV-1_01,REU,St Leu,20250519,1,grid,PPK with a Reach base connected to Centipede,no,yes,yes,202505_plancha_session,,MZ,,
v1,20250519_REU-ST-LEU_ASV-1_02,REU,St Leu,20250519,1,grid,PPK with a Reach base connected to Centipede,no,yes,yes,202505_plancha_session,,MZ,,
v1,20250519_REU-ST-LEU_ASV-2_01,REU,St Leu,20250519,1,grid,PPK with a Reach base connected to Centipede,yes,yes,yes,202505_plancha_session,,MZ,,
